h3_index,city,service_count,Culture,Education,Financial,Food,Food Retail,Health,Professional Services,Public Services,Public Utilities,Recreation,Religion,Retail,Security,Services,Sports,Tourism,Transportation,lat,lng
8a1f994138dffff,Pavia,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.18892359139076,9.148737291469573
8a1f9941331ffff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.184465325060486,9.158285089691514
8a1f9941ec07fff,Pavia,4,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,45.18932987266489,9.168699730539453
8a1f99411717fff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19866799573802,9.161818987469333
8a1f994aca67fff,Pavia,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.17227247536438,9.147746046328171
8a1f994131a7fff,Pavia,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.18537973629918,9.143981334226048
8a1f9941ece7fff,Pavia,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45.18799351074069,9.17078937181502
8a1f9941321ffff,Pavia,13,0,0,0,7,0,0,0,0,2,0,1,1,0,2,0,0,0,45.1820180186298,9.160824835422883
8a1f99413157fff,Pavia,12,0,1,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,45.18670172637685,9.149637965868548
8a1f99413c6ffff,Pavia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.187601555271804,9.143080546290676
8a1f99413807fff,Pavia,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,45.19248118493481,9.145746731964914
8a1f9941145ffff,Pavia,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,45.198007297918075,9.158989912846833
8a1f9941e3affff,Pavia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,45.18662468853405,9.188374616071265
8a1f99411297fff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.19953877807817,9.170756920836325
8a1f99413cdffff,Pavia,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.18272169270797,9.140414724357509
8a1f99411c17fff,Pavia,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,45.20557196024441,9.149728953565178
8a1f99410097fff,Pavia,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45.19806104182272,9.128000564587046
8a1f994136a7fff,Pavia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.17515562661386,9.149673446173825
8a1f9940256ffff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.222625220375974,9.17069199086651
8a1f99411807fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.21265814470926,9.159244619900536
8a1f99411837fff,Pavia,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,45.21288310675135,9.157604665451666
8a1f9941181ffff,Pavia,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,45.2115474461299,9.159694976755619
8a1f9941e597fff,Pavia,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45.180231138037335,9.166192991169266
8a1f9941ec5ffff,Pavia,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,45.188653927941935,9.173618375387266
8a1f99411447fff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.19911816217483,9.158539624011592
